 KEGG:hsa00010    Glycolysis / Gluconeogenesis
 KEGG:hsa00020    Citrate cycle (TCA cycle)
 KEGG:hsa00030    Pentose phosphate pathway
 KEGG:hsa00040    Pentose and glucuronate interconversions
 KEGG:hsa00051    Fructose and mannose metabolism
 KEGG:hsa00052    Galactose metabolism
 KEGG:hsa00053    Ascorbate and aldarate metabolism
 KEGG:hsa00061    Fatty acid biosynthesis
 KEGG:hsa00062    Fatty acid elongation
 KEGG:hsa00071    Fatty acid degradation
 KEGG:hsa00072    Synthesis and degradation of ketone bodies
 KEGG:hsa00100    Steroid biosynthesis
 KEGG:hsa00120    Primary bile acid biosynthesis
 KEGG:hsa00130    Ubiquinone and other terpenoid-quinone biosynthesis
 KEGG:hsa00140    Steroid hormone biosynthesis
 KEGG:hsa00190    Oxidative phosphorylation
 KEGG:hsa00220    Arginine biosynthesis
 KEGG:hsa00230    Purine metabolism
 KEGG:hsa00232    Caffeine metabolism
 KEGG:hsa00240    Pyrimidine metabolism
 KEGG:hsa00250    "Alanine  aspartate and glutamate metabolism"
 KEGG:hsa00260    "Glycine  serine and threonine metabolism"
 KEGG:hsa00270    Cysteine and methionine metabolism
 KEGG:hsa00280    "Valine  leucine and isoleucine degradation"
 KEGG:hsa00290    "Valine  leucine and isoleucine biosynthesis"
 KEGG:hsa00300    Lysine biosynthesis
 KEGG:hsa00310    Lysine degradation
 KEGG:hsa00330    Arginine and proline metabolism
 KEGG:hsa00340    Histidine metabolism
 KEGG:hsa00350    Tyrosine metabolism
 KEGG:hsa00360    Phenylalanine metabolism
 KEGG:hsa00380    Tryptophan metabolism
 KEGG:hsa00400    "Phenylalanine  tyrosine and tryptophan biosynthesis"
 KEGG:hsa00410    beta-Alanine metabolism
 KEGG:hsa00430    Taurine and hypotaurine metabolism
 KEGG:hsa00440    Phosphonate and phosphinate metabolism
 KEGG:hsa00450    Selenocompound metabolism
 KEGG:hsa00471    D-Glutamine and D-glutamate metabolism
 KEGG:hsa00472    D-Arginine and D-ornithine metabolism
 KEGG:hsa00480    Glutathione metabolism
 KEGG:hsa00500    Starch and sucrose metabolism
 KEGG:hsa00510    N-Glycan biosynthesis
 KEGG:hsa00511    Other glycan degradation
 KEGG:hsa00512    Mucin type O-glycan biosynthesis
 KEGG:hsa00514    Other types of O-glycan biosynthesis
 KEGG:hsa00515    Mannose type O-glycan biosynthesis
 KEGG:hsa00520    Amino sugar and nucleotide sugar metabolism
 KEGG:hsa00524    "Neomycin  kanamycin and gentamicin biosynthesis"
 KEGG:hsa00531    Glycosaminoglycan degradation
 KEGG:hsa00532    Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
 KEGG:hsa00533    Glycosaminoglycan biosynthesis - keratan sulfate
 KEGG:hsa00534    Glycosaminoglycan biosynthesis - heparan sulfate / heparin
 KEGG:hsa00561    Glycerolipid metabolism
 KEGG:hsa00562    Inositol phosphate metabolism
 KEGG:hsa00563    Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
 KEGG:hsa00564    Glycerophospholipid metabolism
 KEGG:hsa00565    Ether lipid metabolism
 KEGG:hsa00590    Arachidonic acid metabolism
 KEGG:hsa00591    Linoleic acid metabolism
 KEGG:hsa00592    alpha-Linolenic acid metabolism
 KEGG:hsa00600    Sphingolipid metabolism
 KEGG:hsa00601    Glycosphingolipid biosynthesis - lacto and neolacto series
 KEGG:hsa00603    Glycosphingolipid biosynthesis - globo and isoglobo series
 KEGG:hsa00604    Glycosphingolipid biosynthesis - ganglio series
