39.723 number of GO processes
16.6302 GO:0007601	 visual perception
12.9975 GO:0007605	 sensory perception of sound
12.3455 GO:0009410	 response to xenobiotic stimulus
12.0455 GO:0010628	 positive regulation of gene expression
10.7547 GO:0045944	 positive regulation of transcription by RNA polymerase II
10.6129 GO:0045893	 positive regulation of DNA-templated transcription
10.3748 GO:0001501	 skeletal system development
9.74437 GO:0007507	 heart development
9.6254 GO:0007368	 determination of left/right symmetry
9.40371 GO:0001701	 in utero embryonic development
9.27579 GO:0060041	 retina development in camera-type eye
9.02412 GO:0010467	 gene expression
8.94095 GO:0060271	 cilium assembly
8.92409 GO:0043066	 negative regulation of apoptotic process
8.83786 GO:0008203	 cholesterol metabolic process
8.77946 GO:0001947	 heart looping
8.69407 GO:0007224	 smoothened signaling pathway
8.68066 GO:0010629	 negative regulation of gene expression
8.67107 GO:0045494	 photoreceptor cell maintenance
8.53973 GO:0007420	 brain development
8.51523 GO:0008285	 negative regulation of cell population proliferation
8.29982 GO:0001822	 kidney development
8.27024 GO:0007568	 aging
8.17069 GO:0042733	 embryonic digit morphogenesis
8.14733 GO:0050896	 response to stimulus
8.12424 GO:0030324	 lung development
8.10982 GO:0043524	 negative regulation of neuron apoptotic process
8.06549 GO:0060048	 cardiac muscle contraction
7.86645 GO:0001666	 response to hypoxia
7.816 GO:1905515	 non-motile cilium assembly
7.64861 GO:0086091	 regulation of heart rate by cardiac conduction
7.64654 GO:0042472	 inner ear morphogenesis
7.46111 GO:0008284	 positive regulation of cell population proliferation
7.42999 GO:1902476	 chloride transmembrane transport
7.36372 GO:0007584	 response to nutrient
7.3604 GO:0001843	 neural tube closure
7.34432 GO:0033674	 positive regulation of kinase activity
7.34432 GO:0030199	 collagen fibril organization
7.34134 GO:0009887	 animal organ morphogenesis
7.3119 GO:0006879	 cellular iron ion homeostasis
7.29948 GO:0043627	 response to estrogen
7.29169 GO:0001934	 positive regulation of protein phosphorylation
7.28474 GO:0001654	 eye development
7.15356 GO:0042475	 odontogenesis of dentin-containing tooth
7.1032 GO:0043588	 skin development
7.1032 GO:0001974	 blood vessel remodeling
7.09755 GO:0002088	 lens development in camera-type eye
7.06624 GO:0009791	 post-embryonic development
7.0518 GO:0001708	 cell fate specification
7.04887 GO:0000122	 negative regulation of transcription by RNA polymerase II
7.0027 GO:0007517	 muscle organ development
6.96742 GO:0006468	 protein phosphorylation
6.94074 GO:0051402	 neuron apoptotic process
6.92658 GO:0014823	 response to activity
6.91922 GO:0006099	 tricarboxylic acid cycle
6.87623 GO:0009060	 aerobic respiration
6.8642 GO:0001649	 osteoblast differentiation
6.85114 GO:0007417	 central nervous system development
6.82124 GO:0007596	 blood coagulation
6.79259 GO:0035116	 embryonic hindlimb morphogenesis
6.78559 GO:0006418	 tRNA aminoacylation for protein translation
6.77949 GO:0001889	 liver development
6.74036 GO:0071260	 cellular response to mechanical stimulus
6.73986 GO:0050885	 neuromuscular process controlling balance
6.73986 GO:0048538	 thymus development
6.72639 GO:0001756	 somitogenesis
6.71172 GO:0048839	 inner ear development
6.62705 GO:0006506	 GPI anchor biosynthetic process
6.55178 GO:0032355	 response to estradiol
6.54961 GO:0007040	 lysosome organization
6.53487 GO:0035264	 multicellular organism growth
6.53325 GO:0043010	 camera-type eye development
6.53325 GO:0007259	 receptor signaling pathway via JAK-STAT
6.5322 GO:0018108	 peptidyl-tyrosine phosphorylation
6.51366 GO:0006958	 complement activation, classical pathway
6.50992 GO:0007528	 neuromuscular junction development
6.47073 GO:0048854	 brain morphogenesis
6.47073 GO:0046686	 response to cadmium ion
